establecimiento,razon_social,productos
GIMAI SA,LA AMISTAD,RUCULA
GIMAI SA,LA AMISTAD,RABANITO
GIMAI SA,LA AMISTAD,PUERROS
GIMAI SA,LA AMISTAD,PIMIENTOS
GIMAI SA,LA AMISTAD,BERENJENAS
GIMAI SA,LA AMISTAD,CEBOLLA
GIMAI SA,LA AMISTAD,PEREJIL
GIMAI SA,LA AMISTAD,ACELGA
GIMAI SA,LA AMISTAD,REMOLACHA
GIMAI SA,LA AMISTAD,ZAPALLO
GIMAI SA,LA AMISTAD,BATATA
GIMAI SA,LA AMISTAD,HINOJO
GIMAI SA,LA AMISTAD,ESCAROLA
GIMAI SA,LA AMISTAD,REPOLLO
GIMAI SA,LA AMISTAD,ZANAHORIA
GIMAI SA,LA AMISTAD,CHAUCHA
GIMAI SA,LA AMISTAD,ZAPALLITO
GIMAI SA,LA AMISTAD,ZUCCHINI
GIMAI SA,LA AMISTAD,TOMATE
GIMAI SA,LA AMISTAD,LECHUGA
GIMAI SA,LA AMISTAD,CIBOULETTE
GIMAI SA,LA AMISTAD,FRUTILLA
GIMAI SA,LA AMISTAD,ESPINACA
GIMAI SA,LA AMISTAD,ARVEJA
GIMAI SA,LA AMISTAD,HABAS
GIMAI SA,LA AMISTAD,PAK CHOY
GIMAI SA,LA AMISTAD,RADICHETA
GIMAI SA,LA AMISTAD,APIO
GIMAI SA,LA AMISTAD,JENJIBRE
GIMAI SA,LA AMISTAD,MILENRAMA
GIMAI SA,LA AMISTAD,CEDRON
GIMAI SA,LA AMISTAD,SALVIA
GIMAI SA,LA AMISTAD,MENTA
GIMAI SA,LA AMISTAD,MELISA
GIMAI SA,LA AMISTAD,TOMILLO
GIMAI SA,LA AMISTAD,ROMERO
GIMAI SA,LA AMISTAD,MOSTAZA
GIMAI SA,LA AMISTAD,CURCUMA
GIMAI SA,LA AMISTAD,AJENJO
GIMAI SA,LA AMISTAD,KALE
GIMAI SA,LA AMISTAD,LIMON
GIMAI SA,LA AMISTAD,MANZANA
GIMAI SA,LA AMISTAD,BROCOLI
GIMAI SA,LA AMISTAD,AJO
GIMAI SA,LA AMISTAD,ALCAUCIL.
HUENU CRESTA Y MUTICIA CRESTA SH,CANDELA,GANADERIA BOVINA
INNOCENTI MONICA,KIWI Y CHAMPIGNON,KIWI
INNOCENTI MONICA,KIWI Y CHAMPIGNON,DESCANSO
INNOCENTI MONICA,KIWI Y CHAMPIGNON,MONTE
INTERRUPCION S.A.,LAS LOMAS,SOJA
"JAÑEZ, MARIA PILAR",EL CHARA,GANADERIA BOVINA
KUMAGRO S.A.,CAMPO ALVEAR,MAIZ
KUMAGRO S.A.,CAMPO ALVEAR,CENTENO
KUMAGRO S.A.,CAMPO ALVEAR,DESCANSO
KUMAGRO S.A.,CAMPO ALVEAR,SOJA
KUMAGRO S.A.,CAMPO ALVEAR,ABONO VERDE
KUMAGRO S.A.,LOS PINOS,SOJA
KUMAGRO S.A.,LOS PINOS,ABONO VERDE
KUMAGRO S.A.,LA LUCIA II,MAIZ
KUMAGRO S.A.,MAC GRATH,MAIZ
KUMAGRO S.A.,LOS PARAISOS,SOJA
KUMAGRO S.A.,LOS PARAISOS,MAIZ
KUMAGRO S.A.,LA BLANQUEADA,SOJA
KUMAGRO S.A.,LA BLANQUEADA,ARVEJA
KUMAGRO S.A.,LA BLANQUEADA,MAIZ
KUMAGRO S.A.,LA BLANQUEADA,RESIDUO VEGETAL
KUMAGRO S.A.,OJEA,CENTENO
KUMAGRO S.A.,OJEA,MAIZ PISINGALLO
KUMAGRO S.A.,OJEA,DESCANSO
KUMAGRO S.A.,OJEA,SOJA
LA CATALINA SCA,LA CATALINA ORGANICA,CEBADA
LA CATALINA SCA,LA CATALINA ORGANICA,TRIGO
LA CATALINA SCA,LA CATALINA ORGANICA,GANADERIA BOVINA
LA VENTURA & ASOCIADOS S.A.,LA VENTURA Y LA MARIA SUR,VACAS
LA VENTURA & ASOCIADOS S.A.,LA VENTURA Y LA MARIA SUR,TERNERAS
LA VENTURA & ASOCIADOS S.A.,LA VENTURA Y LA MARIA SUR,TOROS
LA VENTURA & ASOCIADOS S.A.,LA VENTURA Y LA MARIA SUR,VAQUILLONAS
LA VENTURA & ASOCIADOS S.A.,LA VENTURA Y LA MARIA SUR,NOVILLOS
LAFONTAINE SILVIA ELENA,LA MADRECITA,GIRASOL ALTO OLEICO
LAFONTAINE SILVIA ELENA,LA MADRECITA,DINKEL
LAVANDAS DE LAS SIERRAS S.R.L.,EL PANTANOSO,ROMERO
LAVANDAS DE LAS SIERRAS S.R.L.,EL PANTANOSO,LAVANDA
LAVANDAS DE LAS SIERRAS S.R.L.,EL PANTANOSO,LAVANDIN
LAVANDAS DE LAS SIERRAS S.R.L.,EL PANTANOSO,OREGANO
LAVANDAS DE LAS SIERRAS S.R.L.,EL PANTANOSO,TOMILLO
LAVANDAS DE LAS SIERRAS S.R.L.,EL PANTANOSO,SALVIA
LAVANDAS DE LAS SIERRAS S.R.L.,EL PANTANOSO,HISOPO
LAVANDAS DE LAS SIERRAS S.R.L.,EL PANTANOSO,MELISA
LAVANDAS DE LAS SIERRAS S.R.L.,EL PANTANOSO,AJEDREA
"LIMARDO, RAFAEL OSVALDO",LA SALADA,SORGO FORRAJERO
"LIMARDO, RAFAEL OSVALDO",LA SALADA,GIRASOL
"LIMARDO, RAFAEL OSVALDO",LA SALADA,GANADERIA BOVINA
"LIMARDO, RAFAEL OSVALDO",LA SALADA,GANADERIA OVINA
LOVINAC S.A.,TRES MARIAS,VACAS
LOVINAC S.A.,TRES MARIAS,TERNERAS
LOVINAC S.A.,TRES MARIAS,TOROS
LUIS A. DUCRET Y CIA. S.A.,GARIBALDI,PASTURAS
LUIS A. DUCRET Y CIA. S.A.,EL PUESTO,MAIZ PISINGALLO
LUIS A. DUCRET Y CIA. S.A.,EL PUESTO,DESCANSO
LUIS A. DUCRET Y CIA. S.A.,EL PUESTO,GIRASOL ALTO OLEICO
LUIS A. DUCRET Y CIA. S.A.,EL RADAR,CEREALES
LUIS A. DUCRET Y CIA. S.A.,EL RADAR,OLEAGINOSAS
MAGADAN LOPEZ MAXIMO PEDRO,LA VENTURA - SANTA BENITA,ALZA MELARIA
MAGADAN LOPEZ MAXIMO PEDRO,LA VENTURA - SANTA BENITA,COLMENAS
MAGADAN LOPEZ MAXIMO PEDRO,LA VENTURA - SANTA BENITA,NUCLEOS
MAGADAN LOPEZ MAXIMO PEDRO,SANTA BENITA,TOROS
MAGADAN LOPEZ MAXIMO PEDRO,SANTA BENITA,VACAS
MAGADAN LOPEZ MAXIMO PEDRO,SANTA BENITA,TERNERAS
MAGADAN LOPEZ MAXIMO PEDRO,SANTA BENITA,TERNEROS
MICAELA ANDREA SASAKI,CULTIVOS ORGANICOS SASAKI,HORTALIZAS
MISKA SA,SAN LUIS,CEREALES
MISKA SA,SAN LUIS,OLEAGINOSAS
MISKA SA,DON GREGORIO,CEREALES
MISKA SA,DON GREGORIO,OLEAGINOSAS
MISKA SA,BREIZH,CEREALES
MISKA SA,BREIZH,OLEAGINOSAS
MISKA SA,LOS VERDES,CEREALES
MISKA SA,LOS VERDES,OLEAGINOSAS
MISKA SA,CONSTANTIN,CEREALES
MISKA SA,CONSTANTIN,OLEAGINOSAS
MISKA SA,LOIZA,CEREALES
MISKA SA,LOIZA,OLEAGINOSAS
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,ZANAHORIA
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,CEBOLLA VERDEO
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,REPOLLO
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,LECHUGA
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,ACELGA
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,PEREJIL
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,RUCULA
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,PUERRO
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,NABO
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,AJO
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,ESPINACA
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,RADICHETA
NEO ARGENTO SC,LAS TRES NENAS,INCULTO
NEO ARGENTO SC,LAS TRES NENAS,AVENA
NEO ARGENTO SC,LAS TRES NENAS,PASTURAS
NEO ARGENTO SC,LAS TRES NENAS,CENTENO
NEO ARGENTO SC,LAS TRES NENAS,SORGO
NEO ARGENTO SC,LAS TRES NENAS,GIRASOL
PETROAGRO S.A.,DON BENEDETTO,SOJA
PETROAGRO S.A.,DON BENEDETTO,MAIZ
PETROAGRO S.A.,SAN JUAN,GIRASOL ALTO OLEICO
PETROAGRO S.A.,HURE,MAIZ
PETROAGRO S.A.,SAN CARLOS,SOJA
PETROAGRO S.A.,SAN CARLOS,MAIZ
PETROAGRO S.A.,LOS VASQUITOS,MAIZ
