establecimiento,razon_social,rubro
SASAKI NOOSAN SRL,SASAKI NOOSAN SRL,HORTICULTURA
SOYAPAMPA S.A.,EL REZONGO,AGRICULTURA
SOYAPAMPA SA,VIMANEMAR,AGRICULTURA
SOYAPAMPA SA,LAS MARIAS,AGRICULTURA
SOYAPAMPA SA,LA PICASA,AGRICULTURA
SOYAPAMPA SA,EL CARDALITO,AGRICULTURA
SOYAPAMPA SA,BUENA ESPERANZA,AGRICULTURA
TANDIL VACARA SRL,SAN MIGUEL,GANADERIA
TENAX S.A.,FINCA DON PEDRO,FRUTICULTURA
TENAX S.A.,FINCA DON PEDRO,HORTICULTURA
TESTONI VICTOR,ARCOS DEL INTI - PRODUCTOR,HORTICULTURA
BUSTAMANTE LUIS,FINCAS DON ROGELIO,FRUTICULTURA
BUSTAMANTE LUIS,FINCAS DON ROGELIO,HORTICULTURA
FRUTOS DEL NORTE SA,FRUTOS DEL NORTE S.A.,FRUTICULTURA
LA LUNA DE CATAMARCA SA,GRUPO AO,FRUTICULTURA
OLIVARES DE POMAN SA,COMPLEJO OLIVICOLA SAN JOSE,FRUTICULTURA
OLIVAS AL MUNDO S.A.,OLIVAS AL MUNDO (CAMPO),AGRICULTURA
AGRO PROFESIONAL SA,LOSITA,AGRICULTURA
CONOSUR FOODS ARGENTINA SRL,ROBLEDO,AGRICULTURA
DE ZARATE MARCOS SEBASTIAN,MARCOS DE ZARATE,HORTICULTURA
FOUNDATION RACHEL Y PAMELA SCHIELE,LAS DOS HERMANAS,AGRICULTURA
FOUNDATION RACHEL Y PAMELA SCHIELE,LAS DOS HERMANAS,GANADERIA
FRANCO BATAN Y ROSA SIGISMUNDI S.H.,BIO HONEY,APICULTURA
HUANQUI S.A.,ALTOS VERDES,AGRICULTURA
LA MECO S.R.L,LA PASCUALINA,FRUTICULTURA
LA MECO S.R.L,LA PASCUALINA,HORTICULTURA
MARIA ELVIRA SAGASTI,ARCA DEL SOL,AGICULTURA
MARIA ELVIRA SAGASTI,ARCA DEL SOL,HORTICULTURA
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS,FRUTICULTURA
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS,HORTICULTURA
POSTEL SA,LAS GAVIOTAS,GANADERIA
PRONUT SRL,LA MORA,AGRICULTURA
RAFAGOS SA,LAS PALOMAS,AGRICULTURA
SARDI JOSE LUIS,COLMENARES ELCANO,APICULTURA
ECA  SA,LA VICTORINA,FRUTICULTURA
FEYEN ROBERTO,MARIA ANGELICA,FRUTICULTURA
FEYEN ROBERTO,MARIA ANGELICA,HORTICULTURA
GONCALVEZ ARTURO ELIAS,ESTANCIA SANTA ANA,AGRICULTURA
GUIDOBONO JOSE MARIA,CAMPO AFUERA,AGRICULTURA
GUIDOBONO JOSE MARIA,TUNAS,AGRICULTURA
KITASAN S.A.,KITASAN,AGRICULTURA
RIGO MARQUES GILMAR,PIRAYU,AGRICULTURA
"RODRIGUEZ BASIGALUP , HECTOR M.",LIMONES DEL SOL 1 Y 2,FRUTICULTURA
BIO AGRICULTORES S.A.,CAMPO PALOMO,FRUTICULTURA
BIO AGRICULTORES S.A.,CAMPO PALOMO,HORTICULTURA
CODUTTI DANIEL HUGO,CAMPO VALUSSI - CAMPO ROSSO,APICULTURA
DIAZ RAFAEL JAVIER,EL CHILCAL,AGRICULTURA
ECA S.A.,ZONA GRAL SAN MARTIN DE RECOLECCION SILVESTRE,FRUTICULTURA
FABIO J PAVON,COLMENARES DON DALMACIO,APICULTURA
GONZALEZ ROQUE O. Y COOPSOL LTDA.,APIARIO BF,APICULTURA
HOLGADO LEONCIO Y COOPSOL LTDA.,APIARIO BG,APICULTURA
LA VICTORIA SRL,LA MANDARINA,AGRICULTURA
RIMONDINO ENRIQUE,MIEL DE MONTE,APICULTURA
RODRIGUEZ ROSA A. Y COOPSOL LTDA.,APIARIO BI,APICULTURA
RUIZ ELVIO Y COOPSOL LTDA.,APIARIO BH,APICULTURA
14 DE ABRIL S.R.L.,LA LAURITA,GANADERIA
ANTONELLA TORRACA Y OTROS S.H.,SAN JOSE,GANADERIA
COMINAGRO GANADERA S.A.,MALLIN NEVADO-LOS RURALES-RANCHO GDE.-LA BLANCA,GANADERIA
COMPAÑIA DE TIERRAS SUD ARGENTINO SA,ESTANCIA MONTOSO,GANADERIA
CUADRADA PRODUCTIONS S.R.L.,BAJADA DEL RADAL,FRUTICULTURA
CUYEN SRL,CUYEN,FRUTICULTURA
CUYEN SRL ,CHACRA MICUCCI,FRUTICULTURA
EL REZONGO SH,RAGOBET (ANIMAL),GANADERIA
EPIGRAN S.A.,LAS MERCEDES Y SECCION LA PALOMA,GANADERIA
FUHRMANN S.A,LAS VIOLETAS,GANADERIA
FUHRMANN S.A,SOFIA,GANADERIA
