establecimiento,razon_social,rubro
MAGADAN LOPEZ MAXIMO PEDRO,SANTA BENITA,GANADERIA
"MAZAIRA, GUILLERMO A.",CHACRA G Y K,AGRICULTURA
MICAELA ANDREA SASAKI,CULTIVOS ORGANICOS SASAKI,AGRICULTURA
MIRTA LOPEZ,REDONDEL,AGRICULTURA
MISKA SA,SAN LUIS,AGRICULTURA
MISKA SA,DON GREGORIO,AGRICULTURA
MISKA SA,BREIZH,AGRICULTURA
MISKA SA,LOS VERDES,AGRICULTURA
MISKA SA,CONSTANTIN,AGRICULTURA
MISKA SA,LOIZA,AGRICULTURA
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,HORTICULTURA
NEO ARGENTO SC,LAS TRES NENAS,AGRICULTURA
NOVICK PABLO HORACIO,EL CUADRO DEL VASCO,AGRICULTURA
NOVICK PABLO HORACIO,EL VASQUITO,AGRICULTURA
"PERASSO, EMILIO CESAR",LA AMELIA,AGRICULTURA
PETROAGRO S.A.,DON BENEDETTO,AGRICULTURA
PETROAGRO S.A.,SAN JUAN,AGRICULTURA
PETROAGRO S.A.,HURE,AGRICULTURA
PETROAGRO S.A.,LOS VASQUITOS,AGRICULTURA
PETROAGRO S.A.,SIVORI,AGRICULTURA
"PROVERBIO, JUAN MARIANO",LOTE 111,AGRICULTURA
"PROVERBIO, JUAN MARIANO","PROVERBIO, JUAN MARIANO",HORTICULTURA
PROVIDENCE SA,LA ISLA,AGRICULTURA
PROVIDENCE SA,LA ISLA,GANADERIA
RIVARA S.A.,LAS NUTRIAS,AGRICULTURA
RIVARA S.A.,LA MARTITA,AGRICULTURA
RIVARA S.A.,EL FORTIN Y LOS MEDANOS,AGRICULTURA
RIVARA S.A.,EL ROSARIO (MANUBI),AGRICULTURA
RIVARA S.A.,LA ADELINA,AGRICULTURA
RIVARA S.A.,10 DE JUNIO,AGRICULTURA
RIVARA S.A.,MAMA CAROLINA,AGRICULTURA
RIVARA S.A.,LA LUISA,AGRICULTURA
RODOLFO UNGARO Y CIA S.A.,ARMONIA - LAS 150 - EL MORO,GANADERIA
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,FRUTICULTURA
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,HORTICULTURA
"ROSSI, PILADE QUINTO",EL CHAPARRAL,AGRICULTURA
"ROSSI, PILADE QUINTO",LA ALCANCIA,AGRICULTURA
SASAKI NOOSAN SRL,SASAKI NOOSAN SRL,HORTICULTURA
SOYAPAMPA S.A.,EL REZONGO,AGRICULTURA
SOYAPAMPA SA,VIMANEMAR,AGRICULTURA
SOYAPAMPA SA,LAS MARIAS,AGRICULTURA
SOYAPAMPA SA,LA PICASA,AGRICULTURA
SOYAPAMPA SA,EL CARDALITO,AGRICULTURA
SOYAPAMPA SA,BUENA ESPERANZA,AGRICULTURA
TANDIL VACARA SRL,SAN MIGUEL,GANADERIA
TENAX S.A.,FINCA DON PEDRO,FRUTICULTURA
TENAX S.A.,FINCA DON PEDRO,HORTICULTURA
TESTONI VICTOR,ARCOS DEL INTI - PRODUCTOR,HORTICULTURA
"VEXENAT PABLO C., FONTENLA DIEGO A.(AGROINDECO SRL) Y GIACHETTI WALTER",PURO CAMPO,AGRICULTURA
VIRTUD SA,EL CICLON LOTE 1,AGRICULTURA
BUSTAMANTE LUIS,FINCAS DON ROGELIO,FRUTICULTURA
BUSTAMANTE LUIS,FINCAS DON ROGELIO,HORTICULTURA
FRUTOS DEL NORTE SA,FRUTOS DEL NORTE S.A.,FRUTICULTURA
LA BUENA VIDA S.R.L.,RIO SINGUIL,AGRICULTURA
LA BUENA VIDA S.R.L.,DON MIGUEL,AGRICULTURA
LA LUNA DE CATAMARCA SA,GRUPO AO,FRUTICULTURA
"LONGO, PASCUAL",PASCUAL LONGO,FRUTICULTURA
OLIVARES DE POMAN SA,COMPLEJO OLIVICOLA SAN JOSE,FRUTICULTURA
OLIVAS AL MUNDO S.A.,OLIVAS AL MUNDO (CAMPO),AGRICULTURA
AGRO PROFESIONAL SA,LOSITA,AGRICULTURA
CONOSUR FOODS ARGENTINA SRL,ROBLEDO,AGRICULTURA
DE ZARATE MARCOS SEBASTIAN,MARCOS DE ZARATE,HORTICULTURA
FOUNDATION RACHEL Y PAMELA SCHIELE,LAS DOS HERMANAS,AGRICULTURA
FOUNDATION RACHEL Y PAMELA SCHIELE,LAS DOS HERMANAS,GANADERIA
FRANCO BATAN Y ROSA SIGISMUNDI S.H.,BIO HONEY,APICULTURA
HUANQUI S.A.,ALTOS VERDES,AGRICULTURA
LA MECO S.R.L,LA PASCUALINA,FRUTICULTURA
LA MECO S.R.L,LA PASCUALINA,HORTICULTURA
MARIA ELVIRA SAGASTI,ARCA DEL SOL,AGRICULTURA
MARIA ELVIRA SAGASTI,ARCA DEL SOL,HORTICULTURA
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS,FRUTICULTURA
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS,HORTICULTURA
POSTEL SA,LAS GAVIOTAS,GANADERIA
PRONUT SRL,LA MORA,AGRICULTURA
RAFAGOS SA,LAS PALOMAS,AGRICULTURA
SARDI JOSE LUIS,COLMENARES ELCANO,APICULTURA
WELEDA S.A.,WELEDA,HORTICULTURA
ECA  SA,LA VICTORINA,FRUTICULTURA
FEYEN ROBERTO,MARIA ANGELICA,FRUTICULTURA
FEYEN ROBERTO,MARIA ANGELICA,HORTICULTURA
GONCALVEZ ARTURO ELIAS,ESTANCIA SANTA ANA,AGRICULTURA
GUIDOBONO JOSE MARIA,CAMPO AFUERA,AGRICULTURA
GUIDOBONO JOSE MARIA,TUNAS,AGRICULTURA
KITASAN S.A.,KITASAN,AGRICULTURA
RIGO MARQUES GILMAR,PIRAYU,AGRICULTURA
"RODRIGUEZ BASIGALUP , HECTOR M.",LIMONES DEL SOL 1 Y 2,FRUTICULTURA
BIO AGRICULTORES S.A.,CAMPO CHACO,FRUTICULTURA
BIO AGRICULTORES S.A.,CAMPO CHACO,HORTICULTURA
BIO AGRICULTORES S.A.,CAMPO PALOMO,FRUTICULTURA
BIO AGRICULTORES S.A.,CAMPO PALOMO,HORTICULTURA
CODUTTI DANIEL HUGO,CAMPO VALUSSI - CAMPO ROSSO,APICULTURA
DIAZ RAFAEL JAVIER,EL CHILCAL,AGRICULTURA
ECA S.A.,ZONA GRAL SAN MARTIN DE RECOLECCION SILVESTRE,FRUTICULTURA
FABIO J PAVON,COLMENARES DON DALMACIO,APICULTURA
GONZALEZ ROQUE O. Y COOPSOL LTDA.,APIARIO BF,APICULTURA
HOLGADO LEONCIO Y COOPSOL LTDA.,APIARIO BG,APICULTURA
RIMONDINO ENRIQUE,MIEL DE MONTE,APICULTURA
RODRIGUEZ ROSA A. Y COOPSOL LTDA.,APIARIO BI,APICULTURA
RUIZ ELVIO Y COOPSOL LTDA.,APIARIO BH,APICULTURA
14 DE ABRIL S.R.L.,LA LAURITA,GANADERIA
ANTONELLA TORRACA Y OTROS S.H.,SAN JOSE,GANADERIA
ANTONELLA TORRACA Y OTROS S.H.,EL FREDE,GANADERIA
BARDAS BLANCAS S.A.,DON JOSE,GANADERIA
COMINAGRO GANADERA S.A.,MALLIN NEVADO-LOS RURALES-RANCHO GDE.-LA BLANCA,GANADERIA
COMPANIA DE TIERRAS TECKA S.A.,TECKA,GANADERIA
