establecimiento,razon_social,productos
EL CASERIO ORGANICO S.H.,MARIA ALBINA I  Y LA AMELIA,TRIGO
EL CASERIO ORGANICO S.H.,MARIA ALBINA I  Y LA AMELIA,SORGO
EL KIWAL DE MACEDO S.A.,DON GUILLERMO,KIWIS
EL REFUGIO DE CARLOS S.A.,LOS TAMARISCOS (ANIMAL),VACAS
EL REFUGIO DE CARLOS S.A.,LOS TAMARISCOS (ANIMAL),TERNEROS
"ETCHEBEST, PEDRO GASTON",DOÑA FRANCISCA,KIWI
"ETCHEBEST, PEDRO GASTON",DOÑA FRANCISCA,LIMON
"ETCHEBEST, PEDRO GASTON",DOÑA FRANCISCA,MORAS SILVESTRES
"ETCHEBEST, PEDRO GASTON",DOÑA FRANCISCA,NOGALES
"ETCHEBEST, PEDRO GASTON",DOÑA FRANCISCA,MANDARINA
"ETCHEBEST, PEDRO GASTON",DOÑA FRANCISCA,HIGO
FERRARI CRISTHIAN DANIEL,FERRARI,ALFALFA
FERRARI CRISTHIAN DANIEL,FERRARI,CAMPO NATURAL
FERRARI CRISTHIAN DANIEL,FERRARI,SOJA
FERRARI CRISTHIAN DANIEL,FERRARI,TRIGO
FERRARI CRISTHIAN DANIEL,FERRARI,AVENA
FERRARI CRISTHIAN DANIEL,FERRARI,CEBADA
FERRARI CRISTHIAN DANIEL,FERRARI,ARVEJA
FERRARI CRISTHIAN DANIEL,FERRARI,LINO
FERRARI CRISTHIAN DANIEL,FERRARI,ZAPALLO
FERRARI CRISTHIAN DANIEL,FERRARI,SESAMO
FERRARI CRISTHIAN DANIEL,FERRARI,POROTO
FERRARI CRISTHIAN DANIEL,FERRARI,AMARANTO
FERRARI CRISTHIAN DANIEL,FERRARI,MAIZ
FERRARI CRISTHIAN DANIEL,FERRARI,GIRASOL
FERRARI CRISTHIAN DANIEL,FERRARI,SORGO
FERRARI CRISTHIAN DANIEL,FERRARI,MAIZ PISINGALLO
GARAT ALBERTO ADOLFO,MI SUEÑO,CEREALES Y OLEAGINOSAS
GARRIDO STELLA MARIS,LOS OSOS,LECHE
GARRIDO STELLA MARIS,LOS OSOS,VACAS DE TAMBO
GARRIDO STELLA MARIS,LOS OSOS,VAQUILLONAS
GARRIDO STELLA MARIS,LOS OSOS,TOROS
GARRIDO STELLA MARIS,LOS OSOS,TERNERAS
GARRIDO STELLA MARIS,LOS OSOS,TERNEROS
GILARDI SEBASTIAN,DON LUIS,AVENA
GIMAI SA,LA AMISTAD,RUCULA
GIMAI SA,LA AMISTAD,RABANITO
GIMAI SA,LA AMISTAD,PUERROS
GIMAI SA,LA AMISTAD,PIMIENTOS
GIMAI SA,LA AMISTAD,BERENJENAS
GIMAI SA,LA AMISTAD,CEBOLLA
GIMAI SA,LA AMISTAD,PEREJIL
GIMAI SA,LA AMISTAD,ACELGA
GIMAI SA,LA AMISTAD,REMOLACHA
GIMAI SA,LA AMISTAD,ZAPALLO
GIMAI SA,LA AMISTAD,BATATA
GIMAI SA,LA AMISTAD,HINOJO
GIMAI SA,LA AMISTAD,ESCAROLA
GIMAI SA,LA AMISTAD,REPOLLO
GIMAI SA,LA AMISTAD,ZANAHORIA
GIMAI SA,LA AMISTAD,CHAUCHA
GIMAI SA,LA AMISTAD,ZAPALLITO
GIMAI SA,LA AMISTAD,ZUCCHINI
GIMAI SA,LA AMISTAD,TOMATE
GIMAI SA,LA AMISTAD,LECHUGA
GIMAI SA,LA AMISTAD,CIBOULETTE
GIMAI SA,LA AMISTAD,FRUTILLA
GIMAI SA,LA AMISTAD,ESPINACA
GIMAI SA,LA AMISTAD,ARVEJA
GIMAI SA,LA AMISTAD,HABAS
GIMAI SA,LA AMISTAD,PAK CHOY
GIMAI SA,LA AMISTAD,RADICHETA
GIMAI SA,LA AMISTAD,APIO
GIMAI SA,LA AMISTAD,JENJIBRE
GIMAI SA,LA AMISTAD,MILENRAMA
